,Movies,Worldwide Collections
643,Frantz Fanon: Black Skin White Mask,"$9,025"
644,The Meanest Man in Texas,"$8,850"
645,That Part Feeling - the Universe of Arvo Part,"$8,812"
646,The Dead Center,"$8,320"
647,Angels Are Made Of Light,"$7,919"
648,This Magnificent Cake!,"$7,888"
649,Ghost Fleet,"$7,850"
650,The Plagiarists,"$7,768"
651,Gregory's Girl,"$7,710"
652,I'll Take Your Dead,"$7,692"
653,Beloved Beast,"$7,301"
654,Dying to Survive 2019 Re-release,"$6,752"
655,Under the Eiffel Tower,"$6,291"
656,Relaxer,"$6,133"
657,Série noire,"$5,633"
658,The Miracle of the Little Prince,"$5,553"
659,Chokehold,"$5,200"
660,The Gliksmans,"$5,166"
661,100 Acres of Hell,"$5,152"
662,Body at Brighton Rock,"$5,123"
663,Chulas Fronteras,"$5,021"
664,The Garden,"$5,006"
665,Malek,"$4,898"
666,I'm Leaving Now,"$4,488"
667,SGT. Will Gardner,"$4,405"
668,Tito and the Birds,"$4,332"
669,The Fate of Lee Khan,"$4,295"
670,State Like Sleep,"$4,282"
671,La Flor,"$4,032"
672,Mother of a Day,"$3,919"
673,Wallflower,"$3,801"
674,The Wandering Soap Opera,"$3,624"
675,Rottentail,"$3,383"
676,Chasing Portraits,"$3,076"
677,Back to the Fatherland,"$2,697"
678,Division 19,"$2,680"
679,Joan the Maid 1: The Battles,"$2,562"
680,TINY: The Life of Erin Blackwell,"$2,465"
681,I Lost Albert 2019 Re-release,"$2,354"
682,A German Youth,"$2,343"
683,Serendipity,"$2,298"
684,Jihadists,"$2,104"
685,Jimi Hendrix Electric Church,"$1,818"
686,Game Day,"$1,624"
